application_number,corpus_role,project_name,community_district,vote_date,vote_year,lead_report_flag,pdf_url,report_stem,index_omission_evidence,validation_coder,validation_date,source_usable,source_unavailable_reason,vote_date_basis
C 970160 ZMR,certified_ulurp_report,950-962 Richmond Avenue,SI 01,07/28/1997,1997,FALSE,https://zap-api-production.herokuapp.com/document/projectaction/sites/nycdcppfs/dcp_projectaction/ZM%20-Zoning%20Map%20Amendment_90E16C652533E811812E1458D04D95C0/970160.pdf,970160,"ZAP hosts the CPC report; its printed header identifies C 970160 ZMR and the July 28, 1997 CPC vote. The report is absent from the DCP CPC Reports index.",codex_gpt5_source_review,2026-07-11,1,,printed_report_header_and_resolution
C 090125 ZMM,certified_ulurp_report,Hobbs Court,MN 11,04/22/2009,2009,FALSE,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/090125.pdf,090125,"The official DCP PDF has the printed C 090125 ZMM header and Council records identify a Section 197-c zoning-map application, but the report is absent from the DCP CPC Reports index.",codex_gpt5_source_review,2026-07-11,1,,printed_report_header_and_resolution
N 150196 HAX,related_project_narrative_lead,New Roads Plaza,BX 03,04/01/2015,2015,TRUE,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/150196.pdf,150196,The official DCP PDF has the printed N 150196 HAX header and carries the narrative for the paired certified C 150197 ZSX project; both reports are absent from the DCP CPC Reports index.,codex_gpt5_source_review,2026-07-11,1,,printed_report_header_and_resolution
C 150197 ZSX,certified_ulurp_report,New Roads Plaza,BX 03,04/01/2015,2015,FALSE,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/150197.pdf,150197,"The official DCP PDF has the printed C 150197 ZSX header and Council records identify a Section 197-c special-permit application, but the report is absent from the DCP CPC Reports index.",codex_gpt5_source_review,2026-07-11,1,,printed_report_header_and_resolution
C 190305 ZMK,certified_ulurp_report,6003 8th Avenue Rezoning,BK 12,10/16/2019,2019,FALSE,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/190305.pdf,190305,"The official DCP PDF has the printed C 190305 ZMK header and Council records identify a Section 197-c zoning-map application, but the report is absent from the DCP CPC Reports index.",codex_gpt5_source_review,2026-07-11,1,,printed_report_header_and_resolution
C 210031 ZMK,certified_ulurp_report,Sutter Avenue Rezoning,BK 05,03/02/2022,2022,TRUE,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/210031.pdf,210031,"The official DCP PDF has the printed C 210031 ZMK header and Council records identify a Section 197-c zoning-map application, but the report is absent from the DCP CPC Reports index.",codex_gpt5_source_review,2026-07-11,1,,printed_report_header_and_resolution
C 960601 ZMQ,certified_ulurp_report,Queens Zoning Map Change (Council District 22),,01/21/1998,1998,FALSE,,960601,"Council introduced this Section 197-c ULURP referral on January 22, 1998. The referral immediately followed the January 21 CPC meeting, the only CPC vote meeting between the surrounding January 7 and February 4 indexed reports. No DCP index row or public report file exists.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,inferred_from_next_day_council_referral_and_cpc_vote_calendar
C 960620 ZMQ,certified_ulurp_report,Queens Zoning Map Change (Council District 32),,01/21/1998,1998,FALSE,,960620,"Council introduced this Section 197-c ULURP referral on January 22, 1998. The referral immediately followed the January 21 CPC meeting, the only CPC vote meeting between the surrounding January 7 and February 4 indexed reports. No DCP index row or public report file exists.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,inferred_from_next_day_council_referral_and_cpc_vote_calendar
C 960670 ZMX,certified_ulurp_report,Bronx Zoning Map Change (Council District 13),,01/21/1998,1998,FALSE,,960670,"Council introduced this Section 197-c ULURP referral on January 22, 1998. The referral immediately followed the January 21 CPC meeting, the only CPC vote meeting between the surrounding January 7 and February 4 indexed reports. No DCP index row or public report file exists.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,inferred_from_next_day_council_referral_and_cpc_vote_calendar
C 980680 ZMK,certified_ulurp_report,Huntington House Apartments,BK 06,04/07/1999,1999,FALSE,,980680,"ZAP identifies a completed ULURP project and Council Resolution 761 records the CPC decision dated April 7, 1999. The action is absent from the DCP index and no public CPC report file is posted.",codex_gpt5_source_review,2026-07-11,0,No authentic CPC report is posted in the DCP index or ZAP public document routes.,council_resolution_cpc_decision_date
